asset_id,file_name,asset_type,intended_use,appears_in,placeholder_path,final_style,nanobanana_prompt,suno_prompt,notes
portrait_01,portrait_01.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_01.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_02,portrait_02.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_02.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_03,portrait_03.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_03.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_04,portrait_04.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_04.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_05,portrait_05.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_05.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_06,portrait_06.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_06.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_07,portrait_07.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_07.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_08,portrait_08.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_08.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_09,portrait_09.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_09.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_10,portrait_10.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_10.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_11,portrait_11.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_11.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_12,portrait_12.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_12.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_13,portrait_13.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_13.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_14,portrait_14.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_14.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_15,portrait_15.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_15.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_16,portrait_16.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_16.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_17,portrait_17.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_17.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_18,portrait_18.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_18.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_19,portrait_19.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_19.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_20,portrait_20.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_20.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_21,portrait_21.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_21.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_22,portrait_22.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_22.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_23,portrait_23.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_23.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_24,portrait_24.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_24.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_25,portrait_25.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_25.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_26,portrait_26.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_26.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_27,portrait_27.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_27.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_28,portrait_28.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_28.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_29,portrait_29.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_29.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
portrait_30,portrait_30.svg,image,Candidate portrait card art,recruitment screen,assets/placeholders/portraits/portrait_30.svg,Semi-realistic professional headshot,See docs/image_prompts.md#character-portraits,,Placeholder currently used
card_bg_1,card_bg_1.svg,image,Candidate card backdrop,recruitment screen,assets/placeholders/card_backgrounds/card_bg_1.svg,Clean engineering UI card background,See docs/image_prompts.md#card-backgrounds,,Reusable set
card_bg_2,card_bg_2.svg,image,Candidate card backdrop,recruitment screen,assets/placeholders/card_backgrounds/card_bg_2.svg,Clean engineering UI card background,See docs/image_prompts.md#card-backgrounds,,Reusable set
card_bg_3,card_bg_3.svg,image,Candidate card backdrop,recruitment screen,assets/placeholders/card_backgrounds/card_bg_3.svg,Clean engineering UI card background,See docs/image_prompts.md#card-backgrounds,,Reusable set
card_bg_4,card_bg_4.svg,image,Candidate card backdrop,recruitment screen,assets/placeholders/card_backgrounds/card_bg_4.svg,Clean engineering UI card background,See docs/image_prompts.md#card-backgrounds,,Reusable set
card_bg_5,card_bg_5.svg,image,Candidate card backdrop,recruitment screen,assets/placeholders/card_backgrounds/card_bg_5.svg,Clean engineering UI card background,See docs/image_prompts.md#card-backgrounds,,Reusable set
main_menu_bg,main_menu_bg.svg,image,Main menu backdrop,main/review/event screens,assets/placeholders/backgrounds/main_menu_bg.svg,Semi-realistic NSW project office scene,See docs/image_prompts.md#background-scenes,,
planning_room_bg,planning_room_bg.svg,image,Planning board room backdrop,main/review/event screens,assets/placeholders/backgrounds/planning_room_bg.svg,Semi-realistic NSW project office scene,See docs/image_prompts.md#background-scenes,,
event_generic_bg,event_generic_bg.svg,image,Event modal illustration backdrop,main/review/event screens,assets/placeholders/backgrounds/event_generic_bg.svg,Semi-realistic NSW project office scene,See docs/image_prompts.md#background-scenes,,
